// sample				nEvt	L(/pb)	filt  collection		  comment
Fall11/Z_2t__3  105099   1700. 0.042 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2t__4  105131   1700. 0.043 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2t__5  105248   1700. 0.042 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2t__6  105570   1700. 0.043 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2t__7  104400   1700. 0.042 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2t__8  105798   1700. 0.043 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/Z_2t__9    4669   1700. 0.044 DYToTauTau_M-20_CT10_TuneZ2_7TeV-powheg-pythia-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/ZGam_2e  323881   34.16 1.000 ZGToEEG_TuneZ2_7TeV-madgraph/Fall11-PU_S6_START42_V14B-v1/AODSIM   MC 
Fall11/ZGam_2m  321534   33.58 1.000 ZGToMuMuG_TuneZ2_7TeV-madgraph/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ZGam_2t   17245   30.75 0.053 ZGToTauTauG_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/WGam_en   27709   114.7 0.053 WGToENuG_TuneZ2_7TeV-madgraph/Fall11-PU_S6_START42_V14B-v1/AODSIM  MC 
Fall11/WGam_mn   37070   114.6 0.071 WGToMuNuG_TuneZ2_7TeV-madgraph/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WGam_tn   10573   104.6 0.020 WGToTauNuG_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/WJets__1  288171 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WJets__2  306981 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WJets__3  202527 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WJets__4  445773 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WJets__5  360069 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WJets__6  202596 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WJets__7  391757 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WJets__8  449302 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WJets__9  153720 27770.00 0.046 WJetsToLNu_TuneZ2_7TeV-madgraph-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/WW__1  417088  27.80 1.000 WW_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WW__2  510000  27.80 1.000 WW_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WW__3  484556  27.80 1.000 WW_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WW__4  498364  27.80 1.000 WW_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WW__5  185924  27.80 1.000 WW_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/WZ__1  970000  10.40 1.000 WZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WZ__2  974872  10.40 1.000 WZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WZ__3  928015  10.40 1.000 WZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WZ__4  910017  10.40 1.000 WZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/WZ__5  292339  10.40 1.000 WZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/ZZ__1 1000000   4.30 1.000 ZZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ZZ__2  998040   4.30 1.000 ZZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ZZ__3  976290   4.30 1.000 ZZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ZZ__4  993280   4.30 1.000 ZZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ZZ__5  203435   4.30 1.000 ZZ_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/ZZ_2l2n   220000  0.2035 1.000 ZZTo2L2Nu_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ZZ_4l	1096075  0.0514 1.000 ZZTo4L_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM    MC 
Fall11/WZ_3ln	1077759  0.3288 1.000 WZTo3LNu_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM  MC 
Fall11/WW_2l2n   210667  3.5606 1.000 WWTo2L2Nu_TuneZ2_7TeV_pythia6_tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/ZZ_4e	499929   1.00 1.000 ZZTo4e_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM    MC 
Fall11/ZZ_4m	499918   1.00 1.000 ZZTo4mu_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM   MC 
Fall11/ZZ_2e2m	499917   1.00 1.000 ZZTo2e2mu_7TeV-powheg-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

Fall11/gg_ZZ_4l  99992 0.2 1.000 GluGluToZZTo4L_7TeV-gg2zz-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM MC
Fall11/gg_WW_4l 524301 0.2 1.000 GluGluToWWTo4L_TuneZ2_7TeV-gg2ww-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM MC

Fall11/ttbar__1  632223   173. 0.319 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ttbar__2  632022   173. 0.319 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ttbar__3  631504   173. 0.319 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ttbar__4  620245   173. 0.318 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ttbar__5  630395   173. 0.318 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ttbar__6  617686   173. 0.318 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ttbar__7  603717   173. 0.320 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ttbar__8  626830   173. 0.320 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 
Fall11/ttbar__9  154077   173. 0.321 TT_TuneZ2_7TeV-powheg-tauola/Fall11-PU_S6_START42_V14B-v1/AODSIM MC 

// 2012

// data2012A/DoubleElectron_190450_193686	1223603 710.61	0.155 Run2012A-PromptReco-v1/AOD  data
// data2012A/DoubleMu_190450_193686	1374849 710.61	0.386 Run2012A-PromptReco-v1/AOD  data
// data2012A/MuEG_190450_193686		 599926	710.61	0.369 Run2012A-PromptReco-v1/AOD  data

// data2012B/DoubleElectron_193752_194076	 304463	209.43	0.280 Run2012B-PromptReco-v1/AOD  data
// data2012B/DoubleMu_193752_194076	 425208 209.43	0.504 Run2012B-PromptReco-v1/AOD  data
// data2012B/MuEG_193752_194076		 205174 209.43	0.326 Run2012B-PromptReco-v1/AOD  data

// data2012B/DoubleElectron_194077_194479	 992550  90.00	0.286 Run2012B-PromptReco-v1/AOD  data
// data2012B/DoubleMu_194077_194479	1499282  90.00	0.503 Run2012B-PromptReco-v1/AOD  data
// data2012B/MuEG_194077_194479		 752955  90.00	0.335 Run2012B-PromptReco-v1/AOD  data

data2012A/DoubleElectron_190450_193686 1223603 110.14 0.155 data data 

data2012A/DoubleMu_190450_193686 1374849 274.30 0.386 data data 

data2012A/MuEG_190450_193686  599926 262.22 0.369 data data 

data2012B/DoubleElectron_193752_194076  304463  58.64 0.280 data data 
data2012B/DoubleElectron_194077_194479  997814  25.74 0.286 data data 
data2012B/DoubleElectron_194480_195016 1108695  25.74 0.289 data data 

data2012B/DoubleMu_193752_194076  425208 105.55 0.504 data data 
data2012B/DoubleMu_194077_194479 2118264  45.27 0.504 data data 
data2012B/DoubleMu_194480_195016 1729303  45.27 0.503 data data 

data2012B/MuEG_193752_194076  205174  68.27 0.326 data data 
data2012B/MuEG_194077_194479  752955  30.15 0.335 data data 
data2012B/MuEG_194480_195016  819418  30.15 0.337 data data 


Summer12/Z_2e 1000000 1700.00 1.000 data data 
Summer12/Z_2m 1905016 1700.00 1.000 data data 
Summer12/Z_2t  147095 1700.00 0.060 data data 

Summer12/Z_2e_lowPU 2297045 1700.00 1.000 data data 
Summer12/Z_2m_lowPU  982507 1700.00 1.000 data data 

Summer12/ZJets_2l 2916653 1700.00 1.000 data data 

Summer12/WW_2l2n   499122 1700.00 1.000 data data 
Summer12/WZ_3ln	   956080 1700.00 1.000 data data 
Summer12/ZZ_2l2n   497920 1700.00 1.000 data data 
Summer12/ZZ_4l	  4989540 1700.00 1.000 data data 

Summer12/WWJets_2l2n 1933235 1700.00 1.000 data data 
Summer12/ZZJets_4l   5631916 1700.00 1.000 data data 

Summer12/ZZ_2e2t   823911 1700.00 1.000 data data 
Summer12/ZZ_2m2t   823922 1700.00 1.000 data data 
Summer12/ZZ_4e	  1499093 1700.00 1.000 data data 
Summer12/ZZ_4m	  1476065 1700.00 1.000 data data 

