// sample				nEvt	L(/pb)	filt  collection		  comment
data2011A/DoubleMu_166951_167284  336292 101.48 0.217 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_167285_167807  345140 108.50 0.233 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_167808_170876  329846 101.09 0.221 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_170877_171446  300661 102.29 0.268 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_171447_172163  323399 111.53 0.282 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_172164_172630  298446 102.19 0.284 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_172631_172802  326232 110.26 0.269 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_172803_172868  451427 153.52 0.279 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_172869_172999  310475 105.34 0.275 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_173000_173389  300526 109.44 0.321 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleMu_173390_173692  467831 165.91 0.334 Run2011A-16Jan2012-v1/AOD data 

data2011B/DoubleMu_175860_175975  297813 108.98 0.337 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_175976_176286  330721 119.84 0.362 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_176287_176309  301983 108.68 0.339 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_176310_176697  275618 102.42 0.363 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_176698_176801  270562 101.20 0.358 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_176802_176886  331249 123.45 0.342 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_176887_177074  331631 122.34 0.354 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_177075_177141  301960 111.55 0.350 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_177142_177319  281024 102.90 0.366 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_177320_177718  304402 112.91 0.363 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_177719_177730  341342 128.72 0.355 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_177731_177875  282537 104.86 0.360 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_177876_178100  401997 147.95 0.354 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_178101_178162  298912 108.81 0.369 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_178163_178421  458269 155.25 0.306 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_178422_178708  372272 118.49 0.279 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_178709_178840  397138 125.41 0.285 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_178841_178970  436472 132.48 0.256 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_178971_179452  367846 108.86 0.250 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_179453_179563  372420 116.13 0.281 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_179564_180241  312605 107.94 0.357 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleMu_180242_180252  112201  41.74 0.405 Run2011B-16Jan2012-v1/AOD data 

data2011A/MuEG_160431_163385 431421   102.42 0.154   Run2011A-May10ReReco-v1/AOD   data
